path,filename,split,source,label,label_name,spatial_logit,spatial_score,frequency_logit,frequency_score,fusion_logit,fusion_score,fixed_probability_average,fixed_logit_average_probability
data\train\real\0000 (10).jpg,0000 (10).jpg,validation,real,0,real,1.2380101680755615,0.7752174735069275,-0.02919057011604309,0.4927029013633728,1.4622772932052612,0.8118807077407837,0.6339601874351501,0.646664559841156
data\train\real\0000 (2).jpg,0000 (2).jpg,validation,real,0,real,0.4875507354736328,0.6195293068885803,-0.09823927283287048,0.4754599332809448,-0.3245372772216797,0.41957035660743713,0.5474946200847626,0.5485108494758606
data\train\real\0000 (3).jpg,0000 (3).jpg,validation,real,0,real,0.947180986404419,0.7205479145050049,-0.12503328919410706,0.46878230571746826,-0.5791015028953552,0.3591393828392029,0.5946651101112366,0.6013453602790833
data\train\real\0000 (4).jpg,0000 (4).jpg,validation,real,0,real,0.2305770069360733,0.5573902130126953,-0.027315914630889893,0.49317148327827454,0.48316097259521484,0.6184939742088318,0.5252808481454849,0.5253857970237732
data\train\real\0000 (5).jpg,0000 (5).jpg,validation,real,0,real,0.2646749019622803,0.5657851696014404,-0.16742980480194092,0.4582400321960449,-0.4727746844291687,0.38395974040031433,0.5120126008987427,0.5121532082557678
data\train\real\0000 (6).jpg,0000 (6).jpg,validation,real,0,real,-0.12990933656692505,0.46756821870803833,-0.16211792826652527,0.45955905318260193,-1.2770323753356934,0.21805578470230103,0.46356363594532013,0.4635612964630127
data\train\real\0000 (7).jpg,0000 (7).jpg,validation,real,0,real,0.8775171041488647,0.7063074707984924,-0.11738413572311401,0.4706876277923584,-0.07030010968446732,0.48243218660354614,0.5884975492954254,0.5938891172409058
data\train\real\0000 (8).jpg,0000 (8).jpg,validation,real,0,real,1.123117208480835,0.7545664310455322,-0.12516804039478302,0.4687487781047821,-1.7579864263534546,0.14704270660877228,0.6116576045751572,0.6222183108329773
data\train\real\0000 (9).jpg,0000 (9).jpg,validation,real,0,real,1.1187045574188232,0.75374835729599,-0.11959567666053772,0.4701366722583771,-1.5165824890136719,0.1799653172492981,0.6119425147771835,0.6223545670509338
data\train\real\0000.jpg,0000.jpg,validation,real,0,real,1.7659876346588135,0.853958010673523,-0.11436119675636292,0.47144079208374023,-3.313380479812622,0.03511499986052513,0.6626994013786316,0.6954689621925354
data\train\FAKE\1000 (10).jpg,1000 (10).jpg,validation,FAKE,1,synthetic,0.13520856201648712,0.5337507128715515,-0.09048452973365784,0.4773942828178406,1.0855132341384888,0.7475358843803406,0.505572497844696,0.5055902600288391
data\train\FAKE\1000 (2).jpg,1000 (2).jpg,validation,FAKE,1,synthetic,0.638786792755127,0.6544791460037231,-0.18296211957931519,0.4543866217136383,0.8400892019271851,0.6984840035438538,0.5544328838586807,0.556732714176178
data\train\FAKE\1000 (3).jpg,1000 (3).jpg,validation,FAKE,1,synthetic,1.9725291728973389,0.8778824806213379,-0.04921850562095642,0.48769786953926086,3.845269203186035,0.9790669083595276,0.6827901750802994,0.7234531044960022
data\train\FAKE\1000 (4).jpg,1000 (4).jpg,validation,FAKE,1,synthetic,1.4329713582992554,0.8073638677597046,-0.06644901633262634,0.4833938479423523,2.8988516330718994,0.9477896094322205,0.6453788578510284,0.6644662022590637
data\train\FAKE\1000 (5).jpg,1000 (5).jpg,validation,FAKE,1,synthetic,1.0758709907531738,0.7457118630409241,-0.10592710971832275,0.4735429584980011,3.2764205932617188,0.9636109471321106,0.6096274107694626,0.6189212203025818
data\train\FAKE\1000 (6).jpg,1000 (6).jpg,validation,FAKE,1,synthetic,1.1421611309051514,0.7580761909484863,0.00041353702545166016,0.5001033544540405,3.1560776233673096,0.9591475129127502,0.6290897727012634,0.6390601992607117
data\train\FAKE\1000 (7).jpg,1000 (7).jpg,validation,FAKE,1,synthetic,1.1561779975891113,0.7606375217437744,-0.032283902168273926,0.49192970991134644,4.623919486999512,0.9902811050415039,0.6262836158275604,0.636902928352356
