path,filename,split,source,label,label_name,spatial_logit,spatial_score,frequency_logit,frequency_score,fusion_logit,fusion_score,fixed_probability_average,fixed_logit_average_probability
data\test\FAKE\0 (10).jpg,0 (10).jpg,test,FAKE,1,synthetic,0.6811180114746094,0.6639882326126099,-0.06451001763343811,0.48387813568115234,2.4814627170562744,0.9228320717811584,0.5739331841468811,0.5764712691307068
data\test\FAKE\0 (2).jpg,0 (2).jpg,test,FAKE,1,synthetic,0.4558489918708801,0.612028956413269,-0.06859752535820007,0.482857346534729,2.236427068710327,0.9034733176231384,0.547443151473999,0.5482557415962219
data\test\FAKE\0 (3).jpg,0 (3).jpg,test,FAKE,1,synthetic,1.2102961540222168,0.7703512907028198,-0.09077346324920654,0.4773222506046295,1.466087818145752,0.8124620318412781,0.6238367706537247,0.6363973617553711
data\test\FAKE\0 (4).jpg,0 (4).jpg,test,FAKE,1,synthetic,0.6408939361572266,0.6549555063247681,-0.08857189118862152,0.47787150740623474,1.9006940126419067,0.8699700832366943,0.5664135068655014,0.5686047673225403
data\test\FAKE\0 (5).jpg,0 (5).jpg,test,FAKE,1,synthetic,0.6401287317276001,0.6547825932502747,-0.09519726037979126,0.4762186110019684,0.9067783355712891,0.7123404741287231,0.5655006021261215,0.5676981210708618
data\test\FAKE\0 (6).jpg,0 (6).jpg,test,FAKE,1,synthetic,0.7980101108551025,0.689548671245575,-0.09972867369651794,0.4750884473323822,-0.18971142172813416,0.45271387696266174,0.5823185592889786,0.5864092111587524
data\test\FAKE\0 (7).jpg,0 (7).jpg,test,FAKE,1,synthetic,0.5063208937644958,0.6239436268806458,-0.07925596833229065,0.48019635677337646,3.410290002822876,0.9680246114730835,0.5520699918270111,0.5531812310218811
data\test\FAKE\0 (8).jpg,0 (8).jpg,test,FAKE,1,synthetic,0.9368488192558289,0.7184627056121826,-0.0671418309211731,0.4832208752632141,1.788388967514038,0.8567296266555786,0.6008417904376984,0.607032060623169
data\test\FAKE\0 (9).jpg,0 (9).jpg,test,FAKE,1,synthetic,0.6083273887634277,0.6475591659545898,-0.052693963050842285,0.48682957887649536,2.4470136165618896,0.9203428030014038,0.5671943724155426,0.5690109133720398
data\test\FAKE\0.jpg,0.jpg,test,FAKE,1,synthetic,1.2097220420837402,0.7702497243881226,-0.05715617537498474,0.4857148230075836,2.504072666168213,0.9244268536567688,0.6279822736978531,0.6402117013931274
data\test\FAKE\1 (10).jpg,1 (10).jpg,test,FAKE,1,synthetic,0.5050105452537537,0.6236361265182495,-0.1300792545080185,0.4675259590148926,0.510944128036499,0.6250277757644653,0.545581042766571,0.5467296242713928
data\test\FAKE\1 (2).jpg,1 (2).jpg,test,FAKE,1,synthetic,1.202144742012024,0.7689061164855957,-0.02668711543083191,0.49332860112190247,2.955129384994507,0.9505053758621216,0.6311173588037491,0.6428438425064087
data\test\FAKE\1 (3).jpg,1 (3).jpg,test,FAKE,1,synthetic,0.6521600484848022,0.6574970483779907,-0.16428641974925995,0.45902055501937866,-1.276487946510315,0.21814864873886108,0.5582588016986847,0.5606836080551147
data\test\FAKE\1 (4).jpg,1 (4).jpg,test,FAKE,1,synthetic,0.7786556482315063,0.6853903532028198,-0.04379647970199585,0.4890526235103607,1.5222420692443848,0.8208684325218201,0.5872214883565903,0.5908377766609192
data\test\FAKE\1 (5).jpg,1 (5).jpg,test,FAKE,1,synthetic,0.7885880470275879,0.6875280737876892,-0.12466414272785187,0.4688742756843567,2.290342092514038,0.9080740213394165,0.578201174736023,0.582236647605896
data\test\FAKE\1 (6).jpg,1 (6).jpg,test,FAKE,1,synthetic,0.580285906791687,0.6411331295967102,-0.05909252166748047,0.4852311313152313,0.30988314747810364,0.5768567323684692,0.5631821304559708,0.564782977104187
data\test\FAKE\1 (7).jpg,1 (7).jpg,test,FAKE,1,synthetic,1.540255069732666,0.8235018253326416,-0.07280343770980835,0.4818071722984314,5.310659408569336,0.9950855374336243,0.6526544988155365,0.6756223440170288
data\test\FAKE\1 (8).jpg,1 (8).jpg,test,FAKE,1,synthetic,0.8958109021186829,0.7100878953933716,-0.08093400299549103,0.4797775447368622,2.3108127117156982,0.9097686409950256,0.5949327200651169,0.6004735231399536
data\test\FAKE\1 (9).jpg,1 (9).jpg,test,FAKE,1,synthetic,2.0384037494659424,0.8847706913948059,-0.018637388944625854,0.4953407943248749,3.9424188137054443,0.9809680581092834,0.6900557428598404,0.7329972982406616
data\test\FAKE\1.jpg,1.jpg,test,FAKE,1,synthetic,1.3411176204681396,0.7926737070083618,-0.04208311438560486,0.48948076367378235,1.4000165462493896,0.8021864891052246,0.6410772353410721,0.6569016575813293
